y cov1 cov2
10.0216729893102 -0.083263 -0.0537
9.01922468906887 -0.082688 -0.06612
10.0107821181376 -0.082626 -0.064012
6.00639009489023 -0.082271 -0.056977
6.98071089307229 -0.082332 -0.063509
10.0180284931267 -0.082126 -0.054926
8.99500924218253 -0.082001 -0.056397
7.00291940033178 -0.080737 -0.058514
11.0155696915565 -0.081705 -0.052568
10.987212696394 -0.083205 -0.063121
6.00721653849409 -0.082678 -0.055605
8.98485434386697 -0.080949 -0.05887
9.9834914281114 -0.080614 -0.058961
8.99669287967609 -0.080638 -0.061132
8.98708684816652 -0.083271 -0.059081
5.99626318881111 -0.08124 -0.066843
7.98099760386689 -0.083142 -0.054854
9.01228173816227 -0.082404 -0.047722
11.0133898325349 -0.082215 -0.05649
7.00035448103884 -0.082486 -0.050479
6.99495784735147 -0.083568 -0.059406
11.9967722568451 -0.082834 -0.043232
10.0197937406222 -0.079659 -0.055991
7.00860366131158 -0.080165 -0.063637
10.9892008139513 -0.082502 -0.057592
8.0062101711953 -0.082214 -0.05946
8.00479680933917 -0.078969 -0.063027
5.00499147355446 -0.081702 -0.071109
7.99827201193085 -0.081602 -0.049021
12.0127829405057 -0.083329 -0.057478
10.9887649252706 -0.08148 -0.068345
8.99288613111175 -0.082605 -0.055581
7.99402464036866 -0.082548 -0.058918
8.00330821704382 -0.080251 -0.054804
7.9909509753139 -0.079431 -0.058983
6.99051957731117 -0.081126 -0.0623
4.98634466198084 -0.081492 -0.05788
5.0027945915129 -0.08154 -0.046254
6.99536089991971 -0.083467 -0.069462
12.9943620578041 -0.081852 -0.069528
13.9970308223122 -0.08101 0.113774
9.99956645970844 -0.081627 0.122413
11.006775774767 -0.080454 0.116239
8.00530627686907 -0.082298 0.10422
10.9952653274838 -0.081752 0.112995
11.0044061457798 -0.082757 0.103391
10.9984302509138 -0.08243 0.108891
4.99516005931815 -0.079533 0.121888
10.9871017432617 -0.081687 0.126143
11.0021713106396 -0.082054 0.114713
10.00152217081 -0.081082 0.117181
11.0130095182872 -0.079472 0.114946
11.9947991880033 -0.081959 0.113442
10.0005923908609 -0.082347 0.105086
12.9843869132256 -0.08039 0.111774
9.99902770917236 -0.081358 0.115507
10.0097516791238 -0.081701 0.108353
9.01186633489144 -0.081063 0.104439
9.02002402892194 -0.081074 0.121654
10.9997428924748 -0.081832 0.112228
9.99624654450006 -0.07987 0.117757
9.97636888019575 -0.082502 0.098151
10.9952666200672 -0.082741 0.111807
13.0234806133026 -0.081144 0.105954
7.00285071337531 -0.081404 0.105779
11.999751032518 -0.085133 0.099188
10.0119327754534 -0.079315 0.117868
8.0015702755211 -0.080982 0.119338
11.9986359231966 -0.080995 0.118837
11.9961756132405 -0.080627 0.113568
15.0161102149709 -0.083508 0.115136
10.9808062044322 -0.081248 0.107062
14.0174669540217 -0.081024 0.111938
14.9945540679941 -0.080754 0.108299
9.98851716158337 -0.081803 0.114933
10.009340138254 -0.080948 0.110812
8.98828889679395 -0.082618 0.114664
8.0054128008492 -0.081967 0.100471
12.9907327511521 -0.079891 0.116455
10.9975213712064 -0.082325 0.108163
14.000396640186 -0.081792 0.117763
13.0046728437743 -0.080211 0.112756
7.98871898264631 -0.077927 -0.043956
13.0156237466761 -0.077782 -0.026294
10.0214268369338 -0.077065 -0.018341
9.99591550031245 -0.079362 0.106689
8.98793650465937 -0.081849 0.108834
12.9816795205874 -0.082605 0.110143
8.98592074141005 -0.081418 0.110715
10.0083180434372 -0.083382 0.11384
8.00944375075727 -0.082034 0.114879
13.0027057194656 -0.080899 0.093972
7.99927365005107 -0.08144 0.110792
8.99657487139163 -0.082167 0.108242
9.00199694785777 -0.081414 0.11333
