y1 y2 cov1 cov2 age haircolor ynull
4 9.11 5.39 6.99 14 none -2.49
3 13.15 5.14 8.13 9 none 0.9
1 10.53 10.29 13.39 8 none -0.86
4 5.65 9.87 8.52 15 brown -1.22
6 8.89 11.14 11.25 10 grey -3.33
1 10.53 10.44 9.69 10 blond -0.16
5 10.5 11.41 11.99 10 brown -2.75
4 10.87 14.74 5.16 7 black -5.84
5 12.63 4.77 10.89 12 black -1.33
4 4.35 13.76 6.79 6 none 3.22
4 12.84 14.56 12.69 9 black -2.01
4 10.95 12.08 8.37 7 blond 2.13
3 8.92 10.35 9.75 7 black -5.66
1 8.08 7.47 11.65 6 blond -0.19
6 9.78 9.2 14.81 10 grey 1.82
4 6.34 15.02 8.7 14 brown 1.05
3 13.63 9.11 13.33 9 black 0.37
4 12.46 13.78 9.34 8 grey -2.24
2 6.12 14.36 14.7 9 none -2.97
5 12.04 11.2 10.76 8 none -3.58
3 5.08 9.02 6.96 18 black 0.41
5 14.02 11.2 10.16 14 none -3.32
5 8.76 13.88 11.4 15 blond -1.72
1 12.18 6.94 14.09 16 none -0.9
2 9.06 8.01 6.37 10 blond 6.45
5 6.77 10.4 18.1 11 grey -2.28
4 8.77 14.83 4.93 7 black 0.82
4 3.14 13.91 12.5 12 grey 0.27
6 9.94 13.03 11.15 5 blond -3.37
3 7.09 12.94 4.78 12 black -0.25
2 13.6 10.3 7.74 7 brown 5.06
1 5.37 8.37 12.7 15 grey 1.58
5 5.83 8.41 7.34 3 brown 0.14
4 12.59 8.03 6.66 11 blond -1.48
-1 7.62 10.2 9.55 9 brown -7.19
4 8.03 13.75 13.24 11 none 3.96
1 3.75 6.39 14.6 6 grey -5.11
3 8.12 10.48 11.5 15 black 2.59
2 5.93 6.43 16.9 5 black 6.68
1 12.62 10.85 4.4 9 blond -5.05
5 11.61 8.54 13.36 12 brown 2.46
2 7.7 10.55 4.69 11 black -0.92
6 14.85 7.77 3.6 14 none -5.5
6 10.9 9.75 14.61 6 grey -5.3
2 12.24 7.95 12.5 8 brown -5.61
3 7.41 11.54 10.94 15 none -1.86
2 7.8 15.4 14.54 7 blond -5.12
6 10 4.99 10.83 11 black 2.41
6 8.35 8.67 8.49 13 none 7.35
2 7.05 15.49 15.98 11 grey -4.5
5 11.77 12.12 10.76 19 blond 2.76
2 12.93 11.73 6.78 10 blond 2.69
4 6.46 13.72 12.55 10 blond 1.16
4 10.44 16.41 10.12 13 none -3.53
3 11.57 13.04 11.76 11 black -0.42
0 11.11 8.69 13.54 9 black -0.98
3 11.02 11.27 5.11 17 grey 1.97
1 9.47 11.38 5.21 9 grey -1.3
4 12.23 11.77 12.16 8 blond 3.42
6 9.11 6.13 8.26 7 grey -1.31
3 11.9 3.41 15.4 12 black 3.68
3 9.46 5.28 11.32 11 brown -3.67
2 8.32 8.54 13.26 8 brown -4.41
6 8.09 8.52 8.07 15 none 11.34
4 11.67 4.78 9.88 13 brown -1.46
-1 9.19 11.73 10.11 11 black 1.04
3 9.85 13.66 7.77 8 blond 2.23
3 6.84 9.49 10.54 7 black -1.69
1 7.62 5.32 10.59 9 blond 1.81
7 9.72 9.74 5.69 11 grey 1.29
6 7.63 12.22 7.05 12 blond -0.75
6 6.8 12.36 12.27 8 black 0.23
4 10 7.5 5.26 6 brown -0.12
2 6.64 6.97 7.5 9 black 7.45
5 11.9 6.37 10.28 11 blond -2.59
1 2.87 6.58 6.3 7 black -3.84
1 1.31 13.55 7.84 9 brown 0.13
4 8.11 13.29 13.81 9 grey 1.09
1 9.98 11.99 8.86 9 grey 1.53
3 3.03 10.65 9.56 9 brown -1.6
5 7.12 14.2 12.61 7 grey -3.72
3 7.97 4.44 6.6 10 brown 4.42
1 8.94 8.73 6.74 8 none -1.22
5 10.61 9.46 10.73 14 grey -3.03
4 7.09 7.43 10.58 16 grey -0.83
3 11.35 12.52 5.32 4 brown -0.69
6 7.11 13.97 5.66 7 brown 3.88
2 5.96 9.58 9.03 15 blond 0.3
4 4.7 8.28 7.84 12 black 2.64
1 13.47 7.74 9.93 10 black -1.75
3 6.72 9.86 10.88 12 grey 0.75
0 7.09 9.16 11.24 12 black -1.14
3 10.32 9.82 8.08 11 blond 0.33
0 9.34 8.05 7.02 10 brown -3.13
4 12.46 5.25 8.4 11 grey -4.59
5 7.56 5.02 7.78 14 none 6.99
4 5.64 6.26 7.43 5 black 2.1
4 11.83 15.88 8.9 9 blond -4.38
5 8.41 6.78 8.98 9 none -2.14
2 8.7 7.14 10.81 12 brown -4.15
1 8.28 8.83 13.61 8 brown 7.7
3 9.8 8.31 10.49 6 grey 4.59
2 8.77 11.64 5.59 17 black -0.93
1 11.73 11.13 9.7 6 blond 1.9
3 11.64 10.08 3.15 8 black -1.45
4 11.86 12.14 7.73 12 blond -1.67
5 5.75 8.51 8.14 12 blond -2.76
3 2.74 10.08 10.85 19 none -2.08
3 6.53 11.9 5.17 9 none 5.78
5 8.47 7.68 14.76 10 brown -0.19
0 5.72 9 8.6 8 brown 0.42
0 6.06 6.76 7.29 9 blond 0.85
-1 2.82 13.76 9.07 9 blond 4.31
0 7.79 14.03 8.86 9 grey -1.81
1 6.58 5.89 10.11 9 brown -3.47
4 7.79 13.84 12.8 7 blond 5.86
3 5.94 11.17 6.62 9 blond -1.54
1 7.6 12.12 11.35 9 none -2.53
4 3.57 9.32 5.78 15 black -4.33
1 9.47 8.61 8.32 9 black -4.5
6 4.89 11.7 10.42 7 brown -2.01
6 7.5 6.43 10.97 8 blond 2.16
6 13.8 8.02 16.97 7 brown 3.88
1 7.03 12.34 9.49 14 grey 2.48
3 8.02 15.2 13.13 10 black -1.27
2 11.82 7.06 7.18 8 grey 0.21
4 5.87 10.11 12.82 12 black -2.47
4 5.58 9.41 14.84 11 black -2.51
4 9.51 12.15 5.66 10 none 3.1
0 11.4 10.04 11.44 8 none -3.55
8 12.37 8.6 8.16 11 none 6.84
3 8.72 9.72 8.01 14 brown -0.32
3 2.92 11.85 10.95 14 grey 0.75
2 7.1 10.45 13.98 10 grey -2.58
4 9.28 12.33 8.64 14 blond -2.01
3 8.08 7.31 9.73 17 blond -4.61
1 7.77 7.84 8.83 4 grey -0.64
4 6.37 7.01 11.14 13 black 1.47
3 5.54 15.84 7.14 6 brown 1.14
1 7.71 8.33 12.76 10 grey -2.74
5 3.24 12.62 9.09 7 blond -2.76
4 8.37 6.01 8.61 8 none -1.76
0 5.73 9.38 9.27 10 brown 5.24
1 8.69 8.72 12.42 12 blond -3.98
0 7.99 5.61 11.83 9 blond -0.63
2 7.58 5.99 6.37 8 grey 6.66
3 10.76 11.21 15.92 6 brown -0.35
1 3.89 6.17 5.19 11 none -4.76
1 3.65 12.4 7.92 9 none -2.33
2 5.98 12.07 10.43 15 brown 1.7
3 7.27 11.74 7.5 8 none -1.31
-1 3.46 9.3 9.76 17 black -1.97
4 4.74 12.83 9.5 12 blond -1.2
1 2.91 11.35 13.33 8 none 0.32
5 14.44 9.44 9.56 13 grey 5.59
4 6.75 7.8 10.5 19 grey -0.31
2 3.9 8.37 4.9 17 grey 3.78
4 3.16 12.7 14.76 7 black 2.21
3 8.71 10.32 11.75 8 blond -0.4
5 6.18 9.65 17.28 6 brown -5.37
0 5.46 4.6 4.48 6 grey -1.82
2 11.87 7.46 15.34 6 brown -1.71
5 3.48 9.5 9.68 11 none 0.17
5 8.78 11.27 11.87 14 none 4.55
0 12.95 15.26 8.44 13 grey 8.03
2 5.9 7.75 9.23 11 blond 5.42
3 7.54 9.1 9.25 13 brown -0.47
1 0.23 7.45 10.35 11 black -6.15
3 5.57 8.25 14.57 10 brown -1.36
2 5.32 10.63 3.97 9 black 0.31
1 6.62 9.06 12.8 6 blond 2.96
2 2.54 12.44 9.43 9 black 3.37
7 7.45 18.68 3.92 7 grey 2.4
5 6.56 7.52 14.64 10 brown -4.88
1 4.81 14.51 9.54 4 black 2.97
4 10.39 6.45 10.62 9 black -1.56
3 7.72 9.14 8.05 6 brown 0.61
5 6.44 9.94 9.14 10 none 0.26
2 5.97 10.59 9.11 11 blond 1.5
5 13.27 9.3 13.99 15 brown 0.09
3 8.51 15.9 10.47 11 brown -5.84
3 10.74 8.23 7.32 3 black 2.58
4 7.4 7.96 8.07 10 blond 1.35
0 4.12 7.56 15.28 7 grey -0.93
4 6.12 8.78 10.3 10 blond 0.41
4 7.62 12.8 8.92 13 blond 0.47
3 6.04 13.53 17.56 16 none 0.77
0 6.51 14.53 13.67 5 brown 5.74
3 6.02 13.46 11.26 10 brown -0.77
3 8.9 15.11 6.47 11 black 0.59
1 6.37 12.92 6.88 14 brown 4.09
1 4.65 9.53 12.84 6 none 3.69
2 7.6 12.5 7.79 9 brown 4.01
6 12.34 8.36 14.1 10 black -2.02
6 12.59 8.82 12.55 8 black 7.01
2 6.11 8.36 13.42 5 blond 0.23
2 9.53 10.03 8.02 17 brown 6.53
1 5.7 5.21 5.99 13 none -4.73
3 6.23 9.23 11.81 12 black 0.07
2 5.45 10.77 11.4 4 blond 4.37
2 5.4 7.04 9.54 12 blond -2.5
4 7.19 9.91 13.32 9 blond -2.63
1 6.08 7.08 7.38 7 brown -3.28
1 5.41 7.03 10.82 5 none -3.68
6 7.15 8.1 12.87 10 blond -1.53
0 11.68 10.53 6.88 10 brown 1.16
0 6.2 9.41 10.14 8 grey -7.05
1 3.6 6.35 11.82 17 none 0.74
0 10.02 16.54 15.11 6 grey 4.33
5 5.37 12.61 8.5 16 blond 7.13
1 8.89 7.91 13.56 10 grey 4.55
2 6.94 8.49 9.01 13 none 2.65
2 12.6 12.85 11.45 5 none -6.04
4 10.49 10.53 10.11 12 brown -2.11
3 8.06 7.43 12 6 blond -1.23
4 8.04 7.21 9.64 12 brown 2.46
4 10.07 14.37 6.04 12 black -0.37
5 8.04 14.28 12.78 12 blond -4.41
4 11.55 13.56 9.59 13 brown 5.9
5 8.01 13.35 7.55 16 black 3.19
3 9.72 11.87 6.48 7 brown 0.83
6 3.56 14.51 12.58 14 blond 4.26
2 10.97 11.59 13.71 12 none -4.69
2 9.84 10.63 4.81 12 blond 2.31
3 7.94 11.56 8.67 11 black -1.83
4 2.11 9.38 14.16 6 brown 2.39
2 2.94 5.76 12.76 13 blond -0.21
6 5.66 9.41 16.5 10 none 2.22
1 11.18 7.19 9.21 12 grey 4.67
5 5.63 8.27 4.9 17 black 0.03
4 7.39 11.51 4.68 9 none 3.56
6 11.75 10.86 6.48 8 blond -4.16
4 4.72 15.98 13.44 8 blond -2.53
1 7.22 6.13 9.83 10 blond 5.32
6 11.74 10.01 9.6 11 blond 1.32
2 1.74 8.44 10.7 14 grey -7.18
4 6.04 15.22 5.35 6 black -4.77
4 8.31 10.48 8.77 6 black -0.7
-1 5.97 12.71 9.21 10 none 3.03
2 0.72 10.34 15.1 14 blond -0.36
2 7.63 9.51 11.53 6 brown 2.18
4 7.59 7.57 7.87 12 black 3.36
5 8.64 8 9.99 12 grey 5.85
1 5.13 6.63 7.83 5 none 0.2
0 5.93 8.59 7.7 8 grey -0.18
3 6.5 7.08 6.6 11 grey -6.14
1 9.69 9.91 9.86 9 grey 0.35
2 8.74 6.88 12.96 4 none -2
2 8.95 15.43 8.26 7 grey -3.41
4 9.29 8.5 11.21 9 brown -0.63
4 7.17 15.02 7.15 11 none 3.55
1 9.88 6.29 13.08 11 black -6.97
1 12.64 10.7 6.67 7 black -1.5
7 7.57 9.08 3.33 11 none 0.41
2 6.53 9.93 6.32 11 blond -3.13
5 13.78 7.54 9.59 4 grey 1.17
2 5.56 12.98 10.71 14 none 1.44
1 5.89 13.04 11.86 11 grey -0.12
2 8.06 9.23 9.96 17 brown -8.63
0 9.19 10.08 10.87 9 grey 9
1 6.73 4.27 7.16 13 none -0.72
3 9.44 10.8 8.82 5 brown 2.28
8 9.19 11.27 9.02 9 grey 0.96
5 4.18 9.07 9.5 7 none 3.59
-1 10.06 6.36 5.79 7 black 2.86
3 5.54 8.43 10.51 8 blond -0.73
2 6.85 7.49 7.6 10 blond 1.32
1 8.51 7.96 12.56 11 grey -3.31
3 12.15 2.77 10.67 14 grey 3
4 7.15 8.75 9.78 9 blond -1.61
1 8.68 6.3 13.27 9 grey 8.46
4 8.57 10.42 9.32 7 none -5.78
1 3.81 6.82 13.63 10 blond -1.62
2 6.45 12.8 9.74 7 none 2.89
5 7.44 14.64 7.86 3 none 1.79
2 4.17 10.26 12.54 12 none -2.06
7 6.9 13.79 15.97 12 blond -3.49
3 6.02 6.94 8.81 9 blond 0.51
1 9.53 7.49 10.13 10 blond -0.05
0 6.97 7.49 10.03 8 none -6.27
4 8.13 13.72 10.29 11 none 0.12
2 3.11 14.2 12.13 11 none 0.67
2 11.98 10.11 11.2 9 blond 0.61
6 12.69 4.46 14.79 6 grey -3.69
3 3.42 9.44 12.23 4 none 1.67
3 4.71 12.1 10.05 5 none 4.82
6 11.25 13.25 7.71 9 brown 1.6
2 3.3 9.07 7.94 13 black -3.97
2 12.15 6.13 14.04 9 black -1.52
4 10.88 2.09 14.72 6 grey 1.21
2 4.56 8.9 15.2 6 brown -2.26
3 10.16 1.99 12.93 3 black -7.55
6 5.16 10.92 9.61 15 blond 3.09
1 10.23 14.51 4.58 13 none -2.9
2 12.3 12.34 7.94 6 grey -2.01
5 10.85 11 10.76 9 brown 5.26
6 6.78 10.93 13.55 12 blond -2.71
5 8.76 14.15 14.45 10 none 2.96
2 12.01 8.58 9.71 8 brown -4.41
3 -0.08 12.44 14.08 10 grey -1.24
4 7.54 7.14 10.59 7 brown -0.26
-1 8.16 8.57 7.7 7 black -4.09
3 3.57 11.46 13.64 9 blond -2.22
4 4.28 11.87 7.93 11 blond -0.1
0 1.33 9.07 7.65 14 black 2.35
2 7.51 7.83 13.83 8 black -5.78
5 5.72 10.01 12.35 13 black -1.22
3 3.37 6.73 14.57 11 brown 2.65
4 10.41 9.22 3.7 10 blond -1.89
2 8.07 15.16 9.99 8 grey 0.8
1 12 4.44 11.64 14 brown 1.72
2 9.66 6.37 7.11 14 brown 0.94
1 9.55 10.53 11.26 8 black 2.29
1 5.01 9.05 9.14 10 brown -0.43
4 9.19 15.1 7.27 5 none -1.45
2 5.25 7.39 11.14 12 grey -9.25
3 5.87 8.12 7.51 15 blond -0.33
6 5.08 6.13 11.84 9 none 1.51
3 6.03 9.43 12.14 11 black 1.87
0 4.95 12.73 8.09 9 none -1.94
1 6.43 13.38 14.46 10 black 6.23
3 10.99 7.77 14.01 11 black 1
2 8.18 5.8 16.37 7 brown 0.44
3 5.86 13.49 8.36 6 brown 4.45
4 6.89 14.03 12.95 9 none -2.51
1 6.34 7.57 10.23 17 none -1.58
2 11.01 11.27 10.25 10 black 8.39
5 8.75 17.41 12.27 7 brown 0.04
4 6.38 12.37 7.86 6 brown 5.72
2 6.24 8.07 8.96 14 blond -5.03
1 7.12 14.27 7.43 13 brown -0.67
4 4.78 13.05 9.82 13 grey 1.32
5 6.6 10.81 7.53 11 black 1.05
4 3.41 9.16 9.33 7 none -3.52
4 10.85 7.03 13.81 7 blond 0.07
2 7.42 8.57 8.08 5 black -3.77
2 8.6 12.25 8.21 11 none 2.49
4 4.47 6.22 12.39 12 blond 3.8
5 9.15 7.28 7.4 12 brown -7.79
3 11.08 12.48 10.31 6 none 4.32
1 10.15 10.13 9.57 4 blond -4.34
3 9.86 10.01 6.7 8 brown 1.59
6 3.36 11.48 12.95 6 grey 2.31
1 5.67 10.49 11.83 10 none -0.7
4 7.92 5.79 6.97 7 none -2.26
3 13.44 12.85 7.35 12 brown 0.58
0 7.35 11.06 13.77 12 blond 1.54
2 12.93 8.53 12.41 9 brown 3.09
5 10.83 8.68 5.58 10 black -7.18
3 16.53 9.16 10.15 6 blond -5.73
2 13.02 10.37 8.56 13 grey 5.01
3 8.02 11.4 11.99 10 black 3.66
4 11.89 7.06 9.56 8 blond 1.52
5 11.87 12.25 3.88 9 grey 2.5
3 7.79 8.08 6.85 13 brown 3.21
5 4.61 10.55 6.58 15 none -9.31
2 5.72 10.47 11.13 10 blond 3.89
1 5.99 13.6 16.54 5 brown -1.7
0 5.5 2.95 11.55 9 grey 0.81
3 11.96 10.42 16.18 8 black -1.03
2 8.31 3.07 7.02 12 none 3.05
3 4.49 7.4 5.47 8 blond -1.22
2 8.21 12.61 7.59 13 none 1.81
5 3.25 6.42 7.58 10 grey -1.37
2 4.54 12.35 9.89 4 grey -3.82
3 4.43 4.05 3.02 7 brown 4.24
0 8.7 8.47 11.07 4 black 2.59
2 5.12 9.61 8.35 3 blond 6.03
2 11.31 5.63 7.68 5 grey 0.23
1 5.9 4.76 7.94 6 black 3.94
4 8.27 6.61 10.47 6 grey 6.91
1 4.7 12.3 12.55 7 black -0.99
4 7.6 7.77 12.62 9 black -4.63
5 7.11 3.22 13.53 15 black -0.84
0 2.92 11.19 12.79 8 none -0.75
2 3.07 7.26 6.65 7 none 0.53
2 4.03 5.9 11.41 9 brown 5.99
0 6.28 6.15 14.79 9 brown -1.14
3 8.19 10.26 10.55 12 brown 1.31
4 9.75 16.65 8.26 3 brown -0.8
5 8.47 16.36 4.78 10 black 0.07
0 7.51 14.76 10.66 13 blond 1.1
2 4.01 12.1 7.35 10 brown 4.65
3 1.51 5.66 13.98 12 black 0.42
1 3.94 9.94 10.77 16 blond 2.49
3 1.57 14.19 8.14 10 none 2.73
4 9.66 5.63 8.24 9 grey 3.2
2 7.72 11.64 11.15 11 grey -2.01
2 5.2 9.78 1.47 15 none 5.69
3 8.26 6.39 13.37 13 blond -1.33
4 3.16 7.99 9.83 8 brown -0.37
2 8.02 13.2 10.96 2 none 4.91
2 8.23 8.27 6.36 10 grey 4.53
2 8.44 10.85 11.74 11 blond -3.81
3 0.49 6.24 10.9 3 none -3.06
4 10.37 9.82 8.04 4 none -4.75
0 7.89 12.45 12.53 9 brown 0.64
1 5.57 12.62 8.97 10 grey 0.58
3 5.19 6.45 9.05 9 black 1.27
4 5.62 8.25 13 4 blond 1.93
